latitude,longitude,Name Spaceport,Launch complex,Launcher,Spacecraft,Flights,Years
45.650002,63.3167,Baikonur Cosmodrome Kazakhstan,Site 1,Vostok,Vostok 1–6,6 Orbital,1961–1963
45.650002,63.3167,Baikonur Cosmodrome Kazakhstan,Site 1,Voskhod,Voskhod 1–2, 2 Orbital,1964–1965
45.650002,63.3167,Baikonur Cosmodrome Kazakhstan,Site 1 & 31,Soyuz,Soyuz 1–40,37 Orbital,1967–1981
45.650002,63.3167,Baikonur Cosmodrome Kazakhstan,Site 1 & 31,Soyuz,Soyuz-T 2–15,14 Orbital,1980–1986
45.650002,63.3167,Baikonur Cosmodrome Kazakhstan,Site 1,Soyuz,Soyuz-TM 2–34,33 Orbital,1987–2002
45.650002,63.3167,Baikonur Cosmodrome Kazakhstan,Site 1,Soyuz,Soyuz-TMA 1–22,22 Orbital,2002–2011
45.650002,63.3167,Baikonur Cosmodrome Kazakhstan,Site 1,Soyuz,Soyuz TMA-M 1–7,7 Orbital,2010–
28.394295,-80.606453,Cape Canaveral AFS Florida USA,LC5,Redstone,Mercury 3–4,2 Sub-O,1961–1961
28.394295,-80.606453,Cape Canaveral AFS Florida USA,LC14,Atlas,Mercury 6–9,4 Orbital,1962–1963
28.394295,-80.606453,Cape Canaveral AFS Florida USA,LC19,Titan II,Gemini 3–12,10 Orbital,1965–1966
28.394295,-80.606453,Cape Canaveral AFS Florida USA,LC34,Saturn IB,Apollo 7,1 Orbital,1968–1968
28.525949,-80.679024,Kennedy Space Center Florida USA,LC39,Saturn V,Apollo 8–17,10 Lun/Or,1968–1970
28.525949,-80.679024,Kennedy Space Center Florida USA,LC39,Saturn IB,Skylab 2–4,3 Orbital,1973–1974
28.525949,-80.679024,Kennedy Space Center Florida USA,LC39,Saturn IB,Apollo-Soyuz,1 Orbital,1975–1975
28.525949,-80.679024,Kennedy Space Center Florida USA,LC39,STS 1–135,Space Shuttle,134 Orbital,1981–2011
39.742802,98.512421,Jiuquan China,Area 4,Long March 2F,Shenzhou 5–7 & 9,4 Orbital,2003–
34.889832,-117.834267,Edwards AFB California USA,Runway,B-52,X-15 90–91,2 Sub-O,1963–1963
38.272732,-76.500221O,Mojave Air and Space Port California USA,Runway,White Knight,SpaceShipOne 15–17,3 Sub-O,2004–2004